id,time_point,age,gender,country,ethnicity,work_sector,area_of_exploration,affiliation,mindful_experi,mindful_style,plum_village_experi,training_experi,training_name_experi,retreat_binary,retreat_type,plum_village_practice,nature_binary,nature,plum_village_sangha,collaboration_qual,competition_qual,collaboration_post,collaboration_qual_follow_up,competition_qual_follow_up,work_life,work_challenges,work_challenges_post,work_challenges_follow_up,takeaway,compassion_insight,global_challenge_insight,follow_up_meditation_binary,follow_up_meditation_style_Q,follow_up_changes_Q,anything_else,anything_else_post,anything_else_follow_up
Participant 68,follow_up,73,Man,"Fort Collins, CO, USA",White or European descent,NA,NA,NA,Moderate (2-3 Years),"No regular practice now, but trained in Aikido for ~40 years (1st degreee black belt). Meditation was part of that training.",Yes,No,NA,Yes,Retreat with Thich Nhat Hanh in Saratoga California around 1995.,No,Yes,"Right behind my house: park (with playground, tennis & basketball courts, baseball diamonds), then small river, then wilderness area with hiking trails. I get to the river 0 to 3 times per week depending on weather; usually walking, sometimes biking. I can see the park and the trees by the river (but not the river itself) from my home-office window.",NA,NA,NA,"Open-mindedness and curiosity are more important than skill, training, or intelligence. But of course, having all of those is best.",NA,NA,NA,NA,"Since the LLM AIs are becoming significant partners/contributors now, it's a very strange time. We can tackle much harder and more complex problems, but we also have to double-check everything scrupulously to make sure we haven't ""hallucinated"". Trust, but VERIFY VERIFY VERIFY. Also, they keep changing (faster than we do), so it's a whole new game every 3 months or so. One tidal wave after another. What can one do but grab a surfboard and start paddling?",NA,"I was surprised that the abbot knew about Assembly Theory (https://en.wikipedia.org/wiki/Assembly_theory); we had quite a deep discussion of it and how it related to ""the space of all possibilities"".","Happiness is not necessary. ""Having enough"" to live and do my work doesn't require it. But of course it's ""nice to have"". :-)","Not sure. There are so many problems to deal with that one can't address (or even be aware of!) them all. Even narrowing it to one, it's often hard to see how to ""takes arms against a sea of troubles"", and harder to see how to do that nonviolently. But complete passivity isn't really an option either.",Yes,plum,yes,NA,"My recent work is perhaps best represented by https://www.researchgate.net/publication/391494903_Time_Dilation_as_a_Key_to_Unified_Theories . The ""Acknowledgements"" section relates to my answers to several survey questions.",NA
Participant 69,follow_up,40,Woman,France,"Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);",NA,NA,NA,Little (1-2 Years),Sitting meditation,Yes,No,NA,Yes,Vipassana silent retreat,No,No,NA,NA,NA,NA,"I saw that people from diverse fields including science shared similar inquiries about reality and systems of knowledge, and the aspiration to see and know beyond what we are taught through the current main knowledge systems. If we explore and address it through these various entry points the echo and noise and ripple effects are stronger.",Each person maximizing their strength in the team,Fighting over limited resources,NA,NA,"It feels challenging. I work with a global network of artists / activists and it is a very challenging environment to express oneself and to stand for beliefs centred around love, community, kindness, diversity, equality. The systems are trying to break these bonds to weaken individuals so they can be more easily controlled. This is not good for people working for the imagination and the envision alternative and better, more equitable and loving worlds.",NA,"- Imagination / visualisation helps to cut through illusions / helps manas to let go. 
- Do not mistake the map for the territory
- I can practice meditation while doing any activities, that can even broaden my practice and experience in life
- reincarnation and nirvana are attainable / and existing in the present. And the 'dead' live within and alongside us in another form. 
- non-duality",I read about the Beloved Community and see the importance of community in moving towards reconciliation and lasting peace.,"Yes, practicing non-duality and compassion for all sides is the path towards peace. It starts with my own self (behaviour, habits, reactions) to be able to move towards resolution. I struggle with what seems like a slower pace (non action) but in the end can have a clearer and more effective impact that is aligned with my ultimate vision.",Yes,"Positive thinking, chanting",Yes the concept of interbeing and non-self is so powerful it resolves most of my conflcits,NA,I am extremely grateful for the retreat. It is life-changing (though I don't know how yet). Thank you.,NA
Participant 70,follow_up,26,Woman,Sweden,"Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);",NA,NA,NA,Moderate (2-3 Years),NA,Yes,No,NA,No,NA,No,Yes,When I go for a run I usually run around the island and then eventually end up in nature. I often go there once in a week. There is gardening and small cafes and also where people can take a swim.,NA,NA,NA,Everyone helps out with everything:),"AL ESTAR JUBILADA MI VIDA DIARIA ES MI TRABAJO Y MI CAMPO DE ACCION, TAL VEZ LA COLABORACION LA ENTIENDA EN RELACION CON AQUELLOS PROYECCTOS EN LOS QUE ME INVOLUCRO Y EN MI RELACION CON EL VECINDARIO EN EL QUE VIVO. ME SIENTOI BIEN CUANDOI COLABORO EN CUALQUIER ACTIVIDAD QUE REQUIERA  UNION 
","EN MI CASO, LA COMPETENCIA NO DARIA EN EL TRABAJO SINO EN LA VIDA COTIDIANA, Y A VECES, AÚN SIN PRETENDERLO, SE ESTABLECE",NA,NA,I’m just a student and kinda feeling lost at the moment,NA,I was sceptical in the beginning but at day three I understood why people come here and I fell in love.,People were so nice and I felt so welcome all the time,"It sure did, I never felt so wholesome after the retreat",Yes,SSESSHIN  DE NUEVE DIAS  EN LA TRADICCION ZEN  ZEN,NO,NA,This is a an amazing place,Mi agradecimiento por esta iniciativa.
Participant 71,post,57,Woman,"Heidelberg, Germany",White or European descent,Social law,Comparative studies on social law,NA,Moderate (2-3 Years),Meditation,No,No,NA,No,NA,Yes,Yes,"Forrest, daily",Sangha am Wald,NA,NA,None,NA,NA,NA,NA,"Sorry, but I really don’t understand the question",NA,Mindfulness can embrace traumatic stress,I can’t see that this was a topic,No,NA,NA,NA,NA,NA,NA
Participant 72,post,68,Woman,"Baltimore, Maryland",White or European descent,"N/A, retired academia healthcare Science/Research","addiction treatment, stress reduction in healthcare, trauma care, counseling","retired: Behavioral Pharmacology Research Unit, Johns Hopkins University Medical School",Very Experienced (5+ Years),"Mindfulness, Mettā, singing, walking,",Yes,Yes,"MBSR, Mindfulness retreat organized by MGH in Shambala (Darla) Mountain Center",Yes,WIMC (Washington Insight Meditation Center),No,Yes,Wooded reservoir where I walk my dogs for 1 hour every day. I live in a green suburb with a meadow garden and trees.,NA,NA,NA,meeting lovely people with whom to create a Sangha. I have always found reticence about attending a Sangha. The simplicity of Plum Village (no golden statue of the Buddha) is attractive to me.,NA,NA,NA,NA,NA,NA,"1) Anger, even righteous, prevents action. 
2) when I feel drowsy during a talk means that I have cut down my feelings from the sadness inside about some stuff. Although I am grateful for all my blessings, I still need to pay attention to some suffering.","There is a need for a more structured exposure to the melodies of the songs, especially ""Little Star"", such a lovely and brave song that I want in my head all day long.","In cultivating Joy, we can replace righteous anger with action",NA,NA,NA,NA,"The science panelists didn't speak much about science. 
Brother Pham Hanh UTube ""More than your story"" should have been mentionned, since it also dealt with Trauma.",NA
Participant 73,post,29,Woman,"Toulouse, France","Asian (e.g., East Asian, South Asian, Southeast Asian, Central Asian);",Aerospace,NA,NA,Moderate (2-3 Years),"Meditation in MBSR style, The Way app with Henry Shukman - daily, Waking Up app - various styles of guided meditations. Mindful eating, walking. Almost weekly - Insight Dialogue online group. Plum village whenever I am in Plum Village.",No,Yes,"MBSR (2 times, in French and in English) & MBCT",Yes,"Vipassana by Goenka (left on 7day), Martin Aylward retreat at Moulin de Chaves.",No,Yes,"There is a parc 15 min by foot, also Pyrenees 1,5h drive. Plum village is 2,5h drive. Sea is 1,5h drive.",NA,NA,NA,"I studied cross-cultural management, and one of the most fascinating areas for me is observing how cultural elements shape the way Buddhist retreats are lived and experienced. The core teachings may be universal, but the expression and embodiment of those teachings often vary significantly across cultures.

For example, in Plum Village, it’s particularly interesting to witness how the different monastic backgrounds contribute to the life of the community. You can feel the subtle influence of Vietnamese, French, and Western traditions coexisting and enriching the atmosphere. Each culture brings its own rhythm, values, and ways of relating.

When I spent time in Thailand, I noticed that some monks smoked or engaged in practices that would be considered unthinkable in other countries. In Japan, I’ve seen Zen monks who are married, run temples as family businesses, and even drink alcohol, something that might surprise those used to a more ascetic image of monastic life.

These cultural nuances don’t necessarily contradict the Dharma; instead, they reflect how teachings are rooted in the soil of each society. As someone with a background in both management and mindfulness, I find this intersection deeply compelling. It reminds me that even within spiritual communities, questions of leadership, hierarchy, gender roles, and collective decision-making are all shaped by the cultural context.",NA,NA,NA,NA,"I spend most of my time not working at my work. Which feels great ! I would like to change my work and do mindfulness research, teaching, retreats full time.",NA,"- aware of consciousness as a screen which is always there, a joyful presence; - giving space to the joyful and full energy from within to outside instead of “something is missing” energy; I tend to listen and trust scientists more than monastics; awareness of my own needs and patterns when it comes to follow PV rules.","When you are compassionate it makes you see the situations from a different perspective, a perspective which includes more opportunities to forgive yourself and others and move on, forgiveness and right view lead to less reactivity which ultimately make you less stressed and more resilient.",It was really hot in PV and I was thinking what would happen if it gets hotter every year.,NA,NA,NA,NA,NA,NA
Participant 74,post,25,Genderqueer or genderfluid,"France, Germany",West Asian (Iran); I prefer that over Middle East,"Academia, Information Technology, Science & Research",Human Computer (daily technology for personal use) Interaction Research & Design,"I will be teaching a course on Mindfulness & UX at my University (Furtwangen University, Germany). Not sure how this role is called. I am not a professor",Experienced (3-5 Years),"With practice I understand being in balance. Having body, mind and spirit in alignment. I know I am often not in alignment. I notice that through the way thoughts occupy my experience and my breath. So I regularly engage in checking in with myself. Noticing tension and where my breath is at. I start to follow it. Mostly I cannot maintain concentration in daily life. That's why I am adding formal practices. I do sitting meditation, preferably in the mornings, after lunch and in the evenings. Length varies. I rarely do formal walking meditation. However I keep remembering myself to arrive with every step wherever I go. This  I especially do when going to the washroom or using public transport. I do diary almost every day, mostly in the evening. And mostly I do Yoga or QiGong in the mornings to deepen the connection of the body-mind. 
Sometimes after my practices (yes this can also mean after a beautiful walk to the toilet) I feel the openness for prayer. It is a deep sense of gratitude for having a spiritual dimension, allowing me to rest as I am and being in awe with existence. I may wish myself and others well (metta).",No,No,NA,No,NA,Yes,Yes,"a river, forests and fields","Upper Hamlet, and sometimes online sanghas (BIPOC & Rainbow)",NA,NA,"As Thay says: If you want to paint a smile, you have to smile yourself. There is the book ""Happy Teacher change the world"". With Pavel and all the other people I feel like the topic of ""Happy Designer change the world"" is beginning to role. As researcher and designer we have a responsibility to be happy. How can we offer freedom if we are not free ourselves? 
The research & design process itself must be offering space for healing, happiness and joy. And putting that into a holistic model the time before, in between and after the work has to be the same. 
So I am seeing a group of people starting to collaborate on creating spaces where we can live and create mindfully, embodying the practice. We can offer this space to anyone interested. 

Another point is the specific topic of not just embodying the practice and offering spaces (Tech Sangha & Mindful Research & Design Retreats) but also focusing on what feels to be the most important topic to me. Most people use the phone in the daily life. How is the phone shaping us? How would a phone & ethical guidelines around daily tech consumption look like? As practitioner of the PV-Tradition which offers so many teachings around mindful daily living I feel called to elaborate on that with the beloved community. And it seems like many many of the retreat are interested as well.",NA,NA,NA,NA,NA,NA,"Mindfulness is not mine. It is transpersonal, unifying the me with the rest. So having this clearer I know that I can always take refuge in ""god"", the sangha, the breath, the universe. 

Mindfulness is free will. Stop following something. And it is not binary, it's a spectre, it has a degree.","the new research which shows that the brain is proactive. And that my reality is created top-down. The importance of beliefs. I feel like this gives me more understanding from a scientific viewpoint of the nature of my struggles. 
And also: bringing the ""work space"" (scientists) into PV was quite an interesting experience. I noticed these energies, triggering certain patterns of mine (e.g. having to show up, look professional). And throughout the week learning to befriend with that reaction and come back to more relaxed state of mind was healing. Through this connection I feel like I have more compassion for myself and more understand of what helps me to stay balanced in daily life. E.g. what my needs for sleep, movement, spiritual practice are and that I don't need to wonder if one of them is lacking for some while.","I think I shared my perspective in the previous answers. It did not really change but maybe become clearer, especially in regards to my scientific & business career. 
Following ""there is no way to peace, peace is the way"", I am aware that I do not sacrifice my happiness, joy, ..., in the present moment for something in the future. It is my responsibility to practice deeply right here, right now. And given the fact that everyone has to start with themselves and within, global challenges have to be addressed on an individual level. A big portion in the world (I belief it is 30-50%, see Growing Up/Integral theory by Ken Wilber) are at a rational (socio-centric) worldview or higher, or in other words people who trust (maybe too much, e.g. scientific materialism) it is important what the message is being sent out by the scientific community. And to the rest of the world what kind of products & services are being offered. 
We have to start within. In our own community. Bringing in balancing practices with skillful means. And from then on it will ripple outwards by itself. I have no doubt. Love is the answer. And mindfulness is the path to allowing my inherent unbound capacity for love to radiate. 
Just a few people can build an App like instagram and millions are using it. Twitter or facebook are so important in the politics and the split of groups. Imagine an app with services and guidelines that offer alternative ways of being, especially in the digital world where most of our attention goes.",NA,NA,NA,NA,I curious to see the outcome if this research!,NA
Participant 75,post,59,Woman,"Fort Collins, Colorado, USA",White or European descent,Academia,"Functional MRI of human learning and decision making, basal ganglia and its disorders.",Professor of Psychology at Colorado State University; Visiting Professor of Psychology at South China Normal University.,Moderate (2-3 Years),NA,Yes,No,NA,Yes,"Tibetan buddhism retreat at the Tushita retreat center in Dharamsala in 1991, previous Thich Nhat Hahn retreat in California in 1995.",No,Yes,We live near the Poudre river; I bike or walk there a couple times a week.  Also live near the foothills of the Rocky Mountains; hike there approximately 2 times per month.,NA,NA,NA,I did not find that the retreat focused on collaboration.  I didn't leave with any ideas/insights in this area.,NA,NA,NA,NA,"My scientific work feels separate from many of these aspects. There is always an effect of economic constraints such as levels of grant funding and funding for students and overall funding for universities.  My funding is less affected than that of many others I know, however, and it doesn't affect the science per se.  It can feel discouraging at times.",NA,NA,"I was surprised how little we discussed compassion; there was limited time of course, and the focus was more on Psychology and the Mind.   I did have some insights into ways that I have held myself apart from family and friends during the sessions and how I might show more lovingkindness towards them","No, in fact during the retreat I felt less engaged about global challenges than in my normal life.  I actually think that was an advantage of the retreat.",NA,NA,NA,NA,"Overall there was some tension between whether this was a regular Plum Village style retreat focused on the fundamentals of mindfulness and whether this was a retreat focused on science and collaboration between scientists.  I think the retreat was very successful in the former -- there was a lot of support from the monastics in developing our mindfulness practices, and a lot of time to engage in practice.  I very much needed this for my own growth and was glad to experience it. I am less sure if the second goal was met.  I did meet a few other scientists, but in my experience fewer that half the attendees were scientists (or even in related fields like engineering).  Most people I met wanted a retreat and to have time at Plum Village, and they didn't really care what the topic was.  I was heartened that a few of the people who said they came to the retreat with negative thoughts about science shared that their views of science and scientists had improved.  The first two days was all on core buddhism (which I liked!) but I was left wondering when the science would start.  I enjoyed the panels on days 3 and 5 on science, but there wasn't a chance to get to discuss science or meet other scientists unless I happened to bump into them.  I couldn't even recognize who the invited speakers were until after their panels -- no introductions were made on the first day and no name tags were worn (which overall is good for a retreat -- focusing on names and status isn't good on retreat -- but it made things difficult for networking).  I was curious whether there were other neuroscientists present, but had no way to find out other than walking around asking everyone ""are you a neuroscientist?"" which didn't seem like it would be very polite!  There was an affinity group on consciousness and the brain, but I was the only scientist who showed up for it.  I felt there were possibly lost opportunities -- I may be doing some work with mindfulness in the upcoming years, but had no place to discuss it or way to figure out who to discuss it with.  I was also hoping going into the retreat to reflect on how buddhism and mindfulness could make me a better scientist -- more open minded, etc.  In conclusion, I went into the retreat hoping for a week of mindfulness as my primary goal, and hoping to potentially gain insights about my work as a scientist and meet others in similar areas of science with common interests as my secondary goal.  The first goal was fully met and I am very happy I attended, the second less so.",NA
Participant 76,post,61,Man,"Amsterdam, The Netherlands",White or European descent,"Business, Finance, Information Technology",deep tech start-ups,NA,Very Experienced (5+ Years),Plum Village,No,No,NA,No,NA,No,Yes,Large green garden & forest with 20 minutes,NA,NA,NA,none,NA,NA,NA,NA,Fine,NA,reflection on ancestor imfluence,retreats always nurture compassion,no,NA,NA,NA,NA,NA,NA
Participant 77,post,29,Woman,"Germany, Frankfurt (Oder)/ Hamburg",White or European descent,Academia,"M.A. European Studies (Politics and History). I am currently more interested in Anthropology and Philosophy, though.",Viadrina Frankfurt (Oder),None,NA,Yes,No,NA,No,NA,No,Yes,"It is the Oder river, which has a very pristine creek in my region. I Love 5 Minuten next to the river.",NA,NA,NA,"Oh well, I think the answers above. Making music together also is important to be joyful (for me, but I think for some of the monatics as well). It can strenghten the sense of community.",NA,NA,NA,NA,I am a student and what I study starts feeling a little meaningless (though it is not unimportant). But thats how it goes.,NA,"We all need a Sangha. You can practice meditation on your own for years, but sharing with a Sangha, learning to rely on them and contributing to a community changes everything. That was really an Aha Moment. 

Second one: Monastic life at Plum Village is a little more rebellious to old traditions, maybe a little more joyful and energetic than I thought. I liked that a lot. I wasn't sure what to expect.

Third thing, and this is connected to my first point... If we spend most of the time alone, contemplating, no one is challenging us. We need time alone (I need a lot of time alone)... But sometimes it can alienate you even from yourself, you might grow thoughts that are not true and know one proves you wrong because no-one is there to do so. That was my biggest take away. That is, why we need a Sangha and that is one of the true natures of interbeing, I think. I feel sorry now for my old, more isolated ""self"", lol.","Monastics and lay practicioners seemed all very compassionate and thoughtful with each other. I heard many words of understanding, met many open people with open minds. The volunteers and probably the monastic as well seemed very engaged and probably they are resilient with taking the chores they are having and with trying to be there for the community. Not sure about this, though, because I dont really know what struggles each and everyone is facing with trying to be compassionate, reliable and resilient. So I don't want to make a virtue out of being resilient, per se.","I am sometimes afraid to look at the Global challenges we are facing. I dislike it. For a long time I stressed myself out about it, that one, two years ago I withdrew from consuming too many news and tried not to get too much information about what is going on. The problem with that is, on the other hand, you might become complacent and only experience your own small life. By that I also mean, maybe not even appreciating the peace and the assets you have in life. Becoming too attached to your own problems. Having an open eye, two open eyes is important. The retreat showed me the importance of facing war and difficult global circumstances by meeting people from different backrounds and trying to look at them, be with them. Still afraid to watch news, though.",NA,NA,NA,NA,Thank you for a wonderful retreat. You are awesome. I'll come back.,NA
Participant 78,post,33,Non-binary,paris,"Hispanic, Latino, or of Spanish origin","Academia, Climate, Education, Science & Research",environmental education,NA,Very Experienced (5+ Years),"vipassana meditation, journaling, psychedelics for healing",No,Yes,"not sure the name, but i learned in therapy",Yes,"vipassana, zen japanese tradition and tibetan tradition",Yes,No,NA,paris lgbtq,NA,NA,"we need to mix this retreat with the earth-holders people, mix global south-global north perspectives. i hope Plum Village can create a practice for people with different perspectives to be able to come and talk about a sensitive topic while being held by the sangha (sort of like beginning anew but framed for important topics around science, climate change, politics, etc)",NA,NA,NA,NA,"very challenging, tiring, oscillating between being very curious and excited and very hopeless and worried",NA,"sometimes the biggest insights comes from talking to the people that are there, I learned a lot and received a lot of support from other participants","i had the opportunity to talk with people who are way more privileged than me, and I saw how much they suffer. I understand now why rich people are destroying our world, it still makes me very sad to think that very few of them seem to be doing the work to change themselves. I guess we need to keep doing our best and just trying to be as open as possible to talk with them with compassion and openness, with the hope that can do something.","yes. it made me realise that we are all struggling and trying our best, but we are very far from a collective awakening.  meeting so many white and privileged people from the global north, especially focusing on still trying to 'prove' that meditation is good for your well-being, and that knowledge is only considered knowledge if its inside academic western standards, seeing that there was not much diverse perspectives on what constitutes as knowledge, made me realize we still have a looong way ahead of us.",NA,NA,NA,NA,"science also includes social sciences, political sciences, arts and environmental sciences , which all seemed to be left out of the 'scientific' retreat, perspectives from non-western lenses were also left out, i think this is a missed opportunity for better learning and knowledge exchange. also, i missed the 5 mindfulness trainings being introduced by practitioners in the research/academic field, i think it would be nice to hear from them how they apply that to their work. i think the 'ethics' part of the practice was not central enough. for example, AI has a huge ethical and environmental impact, and could have been discussed openly. it happened organically by the participants but we all missed this as an important point to address in a panel, for example.",NA
Participant 79,post,30,Man,"Barcelona, Spain","Hispanic, Latino, or of Spanish origin",N/A,Ai safety,NA,Experienced (3-5 Years),"Ideal parent figure protocol, metta, somatic experiencing",No,No,NA,Yes,"Vipassana, Thai forest tradition.",Yes,Yes,Forest. Once a week,Wake up Barcelona,NA,NA,It's very fruitful to have multidisciplinary conversations where there's deep listening and loving speech,NA,NA,NA,NA,"I'm still in experimental mode but I enjoy it and it feels meaningful, essential and compassionate work",NA,"Predictive processing, the closer to reality our predictive model is, the less we suffer.

Being ok with not knowing",It's ok to be ambitious,The feeling that nobody is in control of global challenges. It's up to all of us to step up. I guess more empowerment came from that.,NA,NA,NA,NA,"It would be amazing if you repeated this every year. My personal bias is that more people in AI would come, that'd be awesome since this technology is going to shape our destiny",NA
Participant 80,post,21,Man,Toronto/Hamilton (Canada),White or European descent,"Academia, Science & Research","Neuroscience; neuroimaging, mood/affective disorders, neurosurgery, psychiatry","UofT (research assistant), McMaster (graduate student)",Moderate (2-3 Years),"Meditation (mindfulness, loving kindness, etc.,), written reflection",Yes,No,NA,No,NA,Yes,No,NA,Wake Up Toronto,NA,NA,"With respect to the conversation around performativity, I realized that I want to bring more sincerity to my collaborations. I feel that much of the time I am speaking or working with someone just to ""check a box"". I want to give myself some space to be more intentional with my collaborations.",NA,NA,NA,NA,"I feel that it is difficult, yet rewarding. I want to continue doing this sort of work regardless of the challenges I will face (neuroscience/medicine related research and clinical practice).",NA,"I gained a greater clarity in relation to the things I want to cultivate in both my intra/interpersonal and academic life. For example, I want to focus more on getting better at talking to people in different contexts; I value social connection but feel that it is lacking in some parts of my life.",N/A,"Yes, I always knew the importance of facing global challenges; however, at the retreat I saw an example of how we can cultivate communities that actively face these challenges. This has inspired me to try and cultivate a sangha as I transition to completing my MSc in neuroscience.",NA,NA,NA,NA,NA,NA
